FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
2006	Ontbijtproduct Smacks Kellogg's	Breakfast product Smacks Kellogg's	A0258 A0692 A0816 B1312	
2005	Ontbijtproduct Special K Kellogg's	Breakfast product Special K Kellogg's	A0258 A0692 A0816 B1324	
1806	Ontbijtproduct tarwebloem instant Molenaar	Breakfast product instant wheat flour	A0258 A0692 A0816 B1312	
1805	Ontbijtproduct tarwegries met honing Molenaar	Breakfast cereal semolina with honey	A0258 A0692 A0816 B1312	
1355	Ontbijtproduct volkoren Nutrigran	Breakfast cereal wholemeal Nutrigran	A0258 A0692 A0816 B1312	
2018	Oral Impact poeder Novartis	Pef Oral Impact immunonutrition powder	A0869 B0001	
1228	Oregano gedroogd	Oregano dried	A0857 B1542	
1068	Orisel p 100 ml Nutricia	Preparation ORS Orisel per 100 ml	A0872 B0001	
1067	Orisel-Junior p 100 ml Nutricia	Preparation ORS Orisel-Junior per 100 ml	A0872 B0001	
1292	Osmolite per 100 ml Abbott	Pef Osmolite per 100 ml	A0869 B0001	
1358	Osmolite Vezel+ per 100 ml Abbott	Pef fibre enriched. Osmolite per 100 ml	A0869 B0001	
95	Paardenvlees rauw	Horsemeat raw	A0150 A0714 A0794 B1229 C0268 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
1892	Paksoi rauw	Cabbage pak-choi raw	A0152 A0705 A0826 B2077 C0151 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
1624	Paling bereid in magnetron z toev	Eel prepared in microwave oven	A0267 A0717 A0801 B1278	
603	Paling gerookt	Eel smoked	A0267 A0717 A0801 B1278 C0268 E0150 F0022 G0003 H0172 J0120 K0003 M0001 N0001 P0024	
112	Paling vers	Eel raw	A0267 A0717 A0801 B1278	
1625	Paling zee- bereid in magnetron z toev	Sea eel/conger prep in microwave oven	A0267 A0717 A0801 B1278	
1013	Paneermeel	Bread crumbs	A0107 A0696 A0820 B1324 C0114 E0117 F0014 G0005 H0003 J0116 K0001 M0003 N0001 P0024	
467	Pannenkoek	Pancake ready to serve	A0852 B1312	
1722	Pap griesmeel-	Porridge semolina	A0778 B1201	
288	Pap havermout-	Porridge oatmeal	A0778 B1201	
290	Pap karnemelkse bloem-	Porridge buttermilk w wheat flour past	A0778 B1201	
1958	Pap karnemelkse gorte-	Porrdige buttermilk groats	A0778 B1201	
298	Pap rijste-	Porridge rice pasteurised	A0778 B1201	
693	Papaja	Papaya	A0143 A0707 A0833 B1249 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
32	Paprika groene gekookt	Sweet pepper green boiled	A0152 A0705 A0825 B2629 C0139 E0151 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 Z0051	
31	Paprika groene rauw	Sweet pepper green raw	A0152 A0705 A0825 B2629 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
885	Paprika rode gekookt	Sweet pepper red boiled without salt	A0152 A0705 A0825 B2630 C0139 E0151 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078	
884	Paprika rode rauw	Sweet pepper red raw	A0152 A0705 A0825 B2630 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
851	Paprika zoetzuur glas	Sweet pepper sweet/sour pickled	A0152 A0705 A0825 B1250 C0139 E0152 F0014 G0003 H0151 H0158 H0190 H0200 J0001 K0010 M0001 N0001 P0024	
1229	Paprikapoeder	Pepper red sweet powder	A0857 B1250	
1074	Passievrucht	Passion fruit	A0143 A0707 A0833 B1634 C0230 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
436	Pasta chocolade- hazelnoot	Chocolate hazlenut spread	A0835 B1012	
1964	Pasta chocolade- melk	Chocolate spread milk	A0835 B1012	
444	Pasta chocolade- puur	Chocolate spread plain	A0835 B1012	
1094	Pasta plantaardig Tartex	Vegetable paste Tartex	A0800 B1452	
1461	Pasta sesam- tahin	Sesame paste tahin	A0853 B1226	
2271	Pasta's glutenvrij Glutafin Sorgente	Pasta glutenfree Glutafin	A0815 B1324	
1183	Pastei ham- Na- Nistria	Ham pâté low sodium Nistria	A0797 B1161	
